Результаты компрессии HSI по методам и коэффициенту sc
Параметры: -s 760 -l 480 -b 0, NT/ST: --me 0.8 --ae 0.2, OT/AT: --me 1.6 --ae 0.4
Сортировка: по возрастанию внутренних эталонов

NT (прогонов: 635, +S0):
  sc         Главных    Внутр.
  1.1831          85       715
  1.1832          85       715
  1.1833          85       715
  1.1836          85       715
  1.1837          85       715
  1.1838          85       715
  1.184           85       715
  1.1840          85       715
  1.082           85       716
  1.0893          85       716
  1.0894          85       716
  1.0895          85       716
  1.0896          85       716
  1.0897          85       716
  1.0898          85       716
  1.0899          85       716
  1.178           85       716
  1.1803          85       716
  1.1804          85       716
  1.1805          85       716
  1.1806          85       716
  1.1807          85       716
  1.1808          85       716
  1.1809          85       716
  1.1811          85       716
  1.1812          85       716
  1.1819          85       716
  1.182           85       716
  1.1834          85       716
  1.1835          85       716
  1.1839          85       716
  1.1845          85       716
  1.074           85       717
  1.075           85       717
  1.076           85       717
  1.077           85       717
  1.078           85       717
  1.079           85       717
  1.080           85       717
  1.081           85       717
  1.090           85       717
  1.091           85       717
  1.092           85       717
  1.172           84       717
  1.174           84       717
  1.175           85       717
  1.1841          85       717
  1.1842          85       717
  1.1843          85       717
  1.1844          85       717
  1.1846          85       717
  1.1847          85       717
  1.1848          85       717
  1.1849          85       717
  1.185           85       717
  1.073           85       718
  1.17            84       718
  1.170           84       718
  1.171           84       718
  1.173           84       718
  1.176           85       718
  1.177           85       718
  1.179           85       718
  1.186           85       718
  1.072           85       719
  1.188           86       719
  1.187           86       720
  1.031           85       721
  1.032           85       721
  1.033           85       721
  1.034           85       721
  1.071           85       721
  1.093           86       721
  1.094           86       721
  1.189           86       721
  1.19            86       721
  1.190           86       721
  1.191           86       721
  1.192           86       721
  1.193           86       721
  1.194           86       721
  1.195           86       721
  1.026           85       722
  1.027           85       722
  1.028           85       722
  1.029           85       722
  1.030           85       722
  1.035           85       722
  1.036           85       722
  1.037           85       722
  1.038           85       722
  1.069           85       722
  1.070           85       722
  1.196           86       722
  1.197           86       722
  1.198           86       722
  1.199           86       722
  1.20            86       722
  1.017           85       723
  1.039           85       723
  1.042           85       723
  1.043           85       723
  1.044           85       723
  1.045           85       723
  1.068           85       723
  1.13            86       723
  1.14            86       723
  1.15            86       723
  1.16            86       723
  1.001           85       724
  1.002           85       724
  1.003           85       724
  1.004           85       724
  1.005           85       724
  1.006           85       724
  1.007           85       724
  1.008           85       724
  1.009           85       724
  1.010           85       724
  1.011           85       724
  1.012           85       724
  1.013           85       724
  1.014           85       724
  1.015           85       724
